|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
|Scythe|[[剛短4 プラグイン SPGT4-700P:https://kakaku.com/item/K0001119174/]]|Bronze|ATX|125|semi|x1|Sirtec|Sirtec Element Smart|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|-|||||
|Seasonic|[[SSR-450FM:https://kakaku.com/item/K0001042495/]]|Gold|ATX|140|semi|x1|Seasonic|Seasonic Focus Gold|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|日本メーカー 105c|chemi-con or FPCAP|chemi-con or FPCAP|HongHua HA1225H12F-Z|n/a|-|||||
|Seasonic|[[SSR-550FM:https://kakaku.com/item/K0001042496/]]|Gold|ATX|140|semi|x1|Seasonic|Seasonic Focus Gold|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|日本メーカー 105c|chemi-con or FPCAP|chemi-con or FPCAP|HongHua HA1225H12F-Z|n/a|-|[[link:https://review.kakaku.com/review/K0001042496/ReviewCD=1191453/ImageID=443813/]]||||
|Sharkoon|[[SHA-SFX450B:https://kakaku.com/item/K0000746880/]]|Bronze|SFX|100|semi|x1|Sirtec|Sirtec Compact SFX Bronze|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|不明|n/a|-|[[link:https://www.dospara.co.jp/monotech/news/12445.html]]||||
|SILVERSTONE|[[SST-ET550-B:https://kakaku.com/item/K0000966592/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPK|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|? CapXon / JunFu 105c|n/a|n/a|? HongHua HA1225H12S-Z|n/a|-|||||
|SILVERSTONE|[[SST-ET550-G:https://kakaku.com/item/K0000993123/]]|Gold|ATX|140|fixed|x1|CWT|CWT GPS|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c?|同期整流 + DC/DC|不明 105c|不明|n/a|不明|n/a|-|||||
|SILVERSTONE|[[SST-ET550-HG:https://kakaku.com/item/K0001017317/]]|Gold|ATX|160|semi|x1|CWT|CWT GPS|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|? CapXon / Su'scon / JunFu / ChengX 105c|? APAQ / Elite|n/a|? Yateloon D14SM-12|n/a|-|||||
|SILVERSTONE|[[SST-ET650-B:https://kakaku.com/item/K0000966591/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPK|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|CapXon / JunFu 105c|n/a|n/a|HongHua HA1225H12S-Z|n/a|-|[[link:http://www.realhardtechx.com/index_archivos/SILVERSTONE_Essential_series_ET650_B_650W_5.html]]||||
|SILVERSTONE|[[SST-ET650-G:https://kakaku.com/item/K0000993124/]]|Gold|ATX|140|fixed|x1|CWT|CWT GPS|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c?|同期整流 + DC/DC|不明 105c|不明|n/a|不明|n/a|-|||||
|SILVERSTONE|[[SST-ET650-HG:https://kakaku.com/item/K0001017318/]]|Gold|ATX|160|semi|x1|CWT|CWT GPS|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|? CapXon / Su'scon / JunFu / ChengX 105c|? APAQ / Elite|n/a|? Yateloon D14SM-12|n/a|-|||||
