|※|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
||ASUS|[[ROG-STRIX-650W-GOLD:https://kakaku.com/item/K0001278870/]]|Gold|ATX|160|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ASUS|[[ROG-STRIX-750W-GOLD:https://kakaku.com/item/K0001278871/]]|Gold|ATX|160|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ASUS|[[ROG-STRIX-850W-GOLD:https://kakaku.com/item/K0001278872/]]|Gold|ATX|160|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ASUS|[[ROG-STRIX-850W-WHITE-EDITION:https://kakaku.com/item/K0001278873/]]|Gold|ATX|160|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ASUS|[[ROG-STRIX-1000W-GOLD:https://kakaku.com/item/K0001294081/]]|Gold|ATX|160|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ASUS|[[ROG-THOR-850P:https://kakaku.com/item/K0001109462/]]|Platinum|ATX|160|full|x2|Seasonic|Seasonic PRIME PX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ASUS|[[ROG-THOR-1200P:https://kakaku.com/item/K0001109461/]]|Platinum|ATX|190|full|x2|Seasonic|Seasonic PRIME PX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ASUS|[[ROG-THOR-1000P2-GAMING:https://kakaku.com/item/K0001410652/]]|Platinum|ATX|190|full|x2|Seasonic|Seasonic PRIME PX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
|終売|Cooler Master|[[&#x4d;asterWatt 450 MPX-4501-AMAAB-JP:https://kakaku.com/item/K0001010188/]]|Bronze|ATX|140|semi|x1|HEC|(&#x4d;asterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|TEAPO 105c|FPCAP|TEAPO 105c|CM Silencio FP DF1202512RFLN|n/a|3C認証：2017010907002561|[[link:https://www.computerbase.de/2018-03/cooler-master-&#x4d;asterWatt-enermax-revobron-netzteil-test/2/]]|[[link:https://nl.hardware.info/product/411277/cooler-master-&#x4d;asterWatt-450w]]|||
||Cooler Master|[[&#x4d;asterWatt 550 TUF Gaming Edition MPX-5501-AMAAB-JF:https://kakaku.com/item/K0001083772/]]|Bronze|ATX|140|semi|x1|HEC|(&#x4d;asterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明 85c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|? TEAPO 105c|? FPCAP|? TEAPO 105c|CM Silencio FP DF1202512RFLN|n/a|3C認証：2017010907002585|[[link:https://www.pcgameshardware.de/Netzteil-Hardware-219902/Tests/Cooler-Master-&#x4d;asterWatt-550-Review-1246492/]]||||
